City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Norman Wells,CA,2021-09-28 11:38:56,65.282,-126.8329,37.44,93,75,5.75
68,Dingle,PH,2021-09-28 11:38:56,10.9995,122.6711,78.66,89,93,2.44
69,Marawi,PH,2021-09-28 11:38:56,7.9986,124.2928,71.65,93,87,3.51
70,Fairbanks,US,2021-09-28 11:35:51,64.8378,-147.7164,27.23,83,1,1.14
71,Seoul,KR,2021-09-28 11:38:57,37.5683,126.9778,69.31,94,90,2.3
72,Cartersville,US,2021-09-28 11:38:57,34.1651,-84.7999,64.94,89,90,0.0
73,Vardo,NO,2021-09-28 11:38:57,70.3705,31.1107,56.95,66,0,31.07
74,Nikolskoye,RU,2021-09-28 11:38:58,59.7035,30.7861,53.87,59,34,5.88
75,San-Pedro,CI,2021-09-28 11:38:58,4.7485,-6.6363,84.24,65,99,0.76
76,Kapaa,US,2021-09-28 11:38:58,22.0752,-159.319,75.11,82,90,1.01
77,Kodiak,US,2021-09-28 11:38:59,57.79,-152.4072,43.88,89,100,15.57
78,Vostok,RU,2021-09-28 11:38:59,46.4856,135.8833,50.97,96,23,4.21
79,Dong Xoai,VN,2021-09-28 11:34:47,11.5333,106.9167,77.79,90,99,1.12
80,Hithadhoo,MV,2021-09-28 11:38:59,-0.6,73.0833,82.58,75,100,12.17
81,Bainbridge,US,2021-09-28 11:36:02,47.6262,-122.5212,55.09,86,40,4.0
82,Bagdarin,RU,2021-09-28 11:39:00,54.4333,113.6,32.05,64,100,4.97
83,Atuona,PF,2021-09-28 11:35:55,-9.8,-139.0333,77.2,75,21,19.26
84,Dubbo,AU,2021-09-28 11:39:00,-32.25,148.6167,57.33,82,40,6.91
85,Puerto Ayora,EC,2021-09-28 11:39:00,-0.7393,-90.3518,68.61,92,99,8.25
86,Santa Maria,BR,2021-09-28 11:39:01,-29.6842,-53.8069,63.7,100,90,6.91
87,Carnarvon,AU,2021-09-28 11:39:01,-24.8667,113.6333,69.87,60,59,14.97
88,Castro,BR,2021-09-28 11:39:01,-24.7911,-50.0119,75.02,48,0,3.74
89,Nenjiang,CN,2021-09-28 11:39:02,49.1833,125.2167,55.15,81,82,14.54
90,Touros,BR,2021-09-28 11:39:02,-5.1989,-35.4608,77.9,70,72,16.75
91,Lasa,IT,2021-09-28 11:39:02,46.6166,10.7002,71.02,50,48,4.88
92,Toora-Khem,RU,2021-09-28 11:39:03,52.4675,96.11,30.97,53,0,0.34
93,Victoria,HK,2021-09-28 11:35:22,22.2855,114.1577,85.96,83,8,1.99
94,Guymon,US,2021-09-28 11:39:03,36.6828,-101.4816,63.52,63,40,3.44
