City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
248,Biak,ID,81.28,light rain,-0.9131,122.8766,Penginapan Kim
250,Trinidad,BO,85.42,clear sky,-14.8333,-64.9,Hotel Piesta
253,Zhob,PK,75.24,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
260,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
261,Kidal,ML,82.2,broken clouds,18.4411,1.4078,
265,New Smyrna Beach,US,80.1,overcast clouds,29.0258,-80.927,Hampton Inn New Smyrna Beach
266,Bandarbeyla,SO,79.59,overcast clouds,9.4942,50.8122,JABIR HOTEL
268,Basco,PH,83.16,light rain,20.4487,121.9702,Nathaniel's Lodge
270,Qixingtai,CN,82.98,clear sky,30.4135,111.8874,Sunny Hotel
271,Lamu,KE,77.22,light rain,-2.2717,40.902,Lamu House
275,Norsup,VU,81.54,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
276,Marsa Matruh,EG,75.4,scattered clouds,31.3525,27.2453,Beau Site
279,Tecoanapa,MX,79.74,broken clouds,16.5167,-98.75,Hotel Manglares
280,Saint-Georges,GD,83.88,light rain,12.0564,-61.7485,Radisson Grenada Beach Resort
281,Aswan,EG,76.3,clear sky,24.0934,32.907,Nuba Nile
285,Sabang,ID,80.46,overcast clouds,5.8933,95.3214,Hotel Citra
287,Ambulu,ID,85.3,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
290,Mana,GF,79.07,light rain,5.6592,-53.7767,LE SAMANA
292,San Pedro,PH,89.31,light rain,14.35,121.0167,Villa Veronica Resort Private Pool
293,Karratha,AU,87.37,clear sky,-20.7377,116.8463,ibis Styles Karratha
294,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
296,Kahului,US,81.66,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
298,Wewak,PG,82.15,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
305,Houma,US,77.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
315,Oda,JP,75.97,scattered clouds,35.1833,132.5,Sky Hotel Oda
316,Pepel,SL,76.3,overcast clouds,8.5817,-13.0628,Kingho Railway and Port
317,Jinxiang,CN,82.06,few clouds,27.4327,120.6062,Wolong Village
318,Tual,ID,81.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
324,San Mateo Del Mar,MX,83.57,overcast clouds,16.2,-95.0,
325,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
329,Texarkana,US,77.23,clear sky,33.4251,-94.0477,Holiday Inn Express & Suites
332,Humberto De Campos,BR,77.02,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
334,Grajau,BR,75.52,clear sky,-5.8194,-46.1386,Hotel Confiança
346,Celestun,MX,81.75,overcast clouds,20.8667,-90.4,Posada Lilia
350,Piedras Negras,MX,86.27,light rain,28.7,-100.5167,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
352,Manadhoo,MV,81.21,moderate rain,5.7667,73.3833,Vevu Guesthouse
356,Paracuru,BR,80.62,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
357,Ko Samui,TH,87.71,moderate rain,9.5357,99.9357,The Passage Samui Villas & Resort
359,Nishihara,JP,85.68,few clouds,26.1842,127.7558,Minshuku Agaihama
362,Biltine,TD,79.5,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
365,Omboue,GA,75.88,overcast clouds,-1.5746,9.2618,Hotel Olako
369,Talavera,PH,85.98,overcast clouds,15.6167,120.9333,R&G's Resort
370,Poya,NC,80.4,light rain,-21.35,165.15,
373,Finschhafen,PG,82.92,light rain,-6.6024,147.8681,Cossam Guest House
375,Cururupu,BR,75.06,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
376,Bela,IN,80.71,clear sky,25.9333,81.9833,Raj Bhawan
378,Sonari,IN,82.45,light rain,27.0667,95.0333,Hotel Green View
386,Nisia Floresta,BR,79.18,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
389,La Paz Centro,NI,76.86,clear sky,12.34,-86.6753,Quinta Momotombo
390,Harper,LR,76.57,light rain,4.375,-7.7169,Screensaver
391,Bac Lieu,VN,86.14,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
395,Stabat,ID,82.6,overcast clouds,3.761,98.4513,Link VII damai
399,Tallahassee,US,78.64,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
400,Ibra,OM,84.52,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
409,Katsina,NG,78.57,clear sky,12.9894,7.6006,Katsina Motel
411,Nabire,ID,84.31,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
418,Corbelia,BR,78.78,clear sky,-24.7989,-53.3067,Hotel Peroza
421,Lady Lake,US,77.11,broken clouds,28.9175,-81.9229,"Holiday Inn Express & Suites the Villages, an IHG Hotel"
424,Kolondieba,ML,75.09,overcast clouds,11.0882,-6.8926,Hotel Dakan
425,Tezu,IN,82.45,broken clouds,27.9167,96.1667,Circuit House
426,Bubaque,GW,83.01,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
428,Majene,ID,84.79,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
431,Lockhart,US,78.73,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
432,Jiujiang,CN,85.23,clear sky,29.7333,115.9833,Tianhai Fashion Theme Hotel
433,Mangrol,IN,81.77,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
436,Uarini,BR,75.85,overcast clouds,-2.99,-65.1083,
437,San Ramon,US,79.29,clear sky,37.7799,-121.978,San Ramon Marriott
440,Coro,VE,79.81,light rain,11.4045,-69.6734,Federal
445,Kota Belud,MY,85.86,light rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
446,Mangan,IN,80.64,overcast clouds,27.5167,88.5333,Hotel Mout View
450,Lorengau,PG,76.64,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
451,Kihei,US,81.66,scattered clouds,20.785,-156.4656,Maui Sunset
