,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Lida,BY,53.8833,25.2997,47.37,76,100,6.08,overcast clouds
81,Tiksi,RU,71.6872,128.8694,32.34,63,100,3.44,overcast clouds
82,Rikitea,PF,-23.1203,-134.9692,73.53,72,4,16.78,clear sky
83,Strezhevoy,RU,60.7333,77.5889,33.78,87,100,13.49,overcast clouds
84,Manacapuru,BR,-3.2997,-60.6206,73.98,85,96,2.84,light rain
85,Talnakh,RU,69.4865,88.3972,30.79,96,100,2.51,overcast clouds
86,Beian,NO,63.6559,9.5683,56.01,62,0,29.93,clear sky
87,Lokosovo,RU,61.1333,74.8167,33.67,86,99,13.67,overcast clouds
88,Jalu,LY,29.0331,21.5482,72.45,60,0,9.98,clear sky
89,Matara,LK,5.9485,80.5353,80.1,83,99,6.38,light rain
90,Ketchikan,US,55.3422,-131.6461,53.58,82,90,0.0,moderate rain
91,Zhigansk,RU,66.7697,123.3711,38.68,37,12,6.85,few clouds
92,Sobolevo,RU,54.4299,31.8996,36.81,92,61,5.86,broken clouds
93,Butaritari,KI,3.0707,172.7902,82.33,74,41,10.78,scattered clouds
94,Fairbanks,US,64.8378,-147.7164,39.16,68,90,4.61,overcast clouds
95,Udachnyy,RU,66.4167,112.4,39.06,44,21,3.49,few clouds
96,San Joaquin,US,37.9333,-121.3011,80.64,32,1,0.0,clear sky
97,Puerto Palomas,MX,31.7667,-107.6167,63.73,61,47,4.14,light rain
98,Morvi,IN,22.8167,70.8333,79.68,85,76,12.06,broken clouds
99,Mahebourg,MU,-20.4081,57.7,72.25,78,75,11.5,light rain
100,Faanui,PF,-16.4833,-151.75,79.2,73,4,17.47,clear sky
101,San Policarpo,PH,12.1791,125.5072,84.06,75,97,6.29,light rain
102,Arraial Do Cabo,BR,-22.9661,-42.0278,69.28,87,98,5.68,overcast clouds
103,Sorland,NO,67.667,12.6934,50.79,79,44,11.86,scattered clouds
104,Kudat,MY,6.8837,116.8477,84.29,89,40,4.61,light rain
105,Lasa,IT,46.6166,10.7002,55.02,89,63,2.42,broken clouds
106,San Quintin,MX,30.4833,-115.95,68.56,83,0,7.23,clear sky
107,Nerl,RU,56.6628,40.3893,37.36,96,25,4.81,scattered clouds
108,Sao Filipe,CV,14.8961,-24.4956,79.2,76,79,4.52,broken clouds
109,Kabanjahe,ID,3.1001,98.4908,68.76,89,100,4.97,overcast clouds
110,Listowel,IE,52.4464,-9.485,52.84,74,59,18.23,light rain
111,Catazaja,MX,17.725,-92.0167,78.98,81,5,2.19,clear sky
112,Mocuba,MZ,-16.8392,36.9856,68.34,98,27,2.51,scattered clouds
113,Khatanga,RU,71.9667,102.5,30.61,94,98,7.0,overcast clouds
114,Khandyga,RU,62.6667,135.6,40.84,57,93,4.36,overcast clouds
115,Kanigoro,ID,-8.13,112.219,84.81,59,68,12.15,broken clouds
116,Lebu,CL,-37.6167,-73.65,49.48,86,100,6.58,overcast clouds
117,Barrow,US,71.2906,-156.7887,30.22,69,75,10.36,broken clouds
118,Dingle,PH,10.9995,122.6711,86.32,71,92,4.16,light rain
119,Tres Arroyos,AR,-38.3739,-60.2798,47.43,49,0,8.25,clear sky
120,Adrar,MR,20.5022,-10.0711,90.68,17,55,6.76,broken clouds
121,Deputatskiy,RU,69.3,139.9,19.96,60,82,3.65,broken clouds
122,Geraldton,AU,-28.7667,114.6,64.81,88,75,17.27,heavy intensity shower rain
123,Gaogou,CN,34.0175,119.1886,79.56,58,95,5.46,overcast clouds
124,Saint George,US,37.1041,-113.5841,72.25,18,1,3.0,clear sky
125,Charters Towers,AU,-20.1,146.2667,86.63,40,69,11.88,broken clouds
126,Touros,BR,-5.1989,-35.4608,76.1,79,21,14.92,few clouds
127,Hithadhoo,MV,-0.6,73.0833,81.72,73,99,3.38,overcast clouds
128,Lima,PE,-12.0432,-77.0282,62.91,84,75,14.97,broken clouds
129,Mount Isa,AU,-20.7333,139.5,89.37,13,3,11.5,clear sky
130,Bafq,IR,31.6128,55.4107,75.63,17,2,0.38,clear sky
131,Pangnirtung,CA,66.1451,-65.7125,35.42,45,32,1.92,scattered clouds
132,Mar Del Plata,AR,-38.0023,-57.5575,55.87,62,0,4.0,mist
133,Yerbogachen,RU,61.2767,108.0108,39.43,61,19,6.26,few clouds
134,Port Hawkesbury,CA,45.6169,-61.3485,58.59,99,90,0.0,overcast clouds
135,Kruisfontein,ZA,-34.0033,24.7314,58.89,97,94,2.1,light rain
136,Cravo Norte,CO,6.3017,-70.2041,76.42,82,93,2.24,overcast clouds
137,Luderitz,NA,-26.6481,15.1594,55.98,90,79,8.68,broken clouds
138,Asau,RO,46.4333,26.4,43.75,86,48,1.68,scattered clouds
139,Samarai,PG,-10.6167,150.6667,82.4,76,45,9.51,scattered clouds
140,Esperance,AU,-33.8667,121.9,64.24,49,100,12.48,overcast clouds
141,Marmora,IT,44.4583,7.094,54.32,92,88,1.66,overcast clouds
142,Ribeira Grande,PT,38.5167,-28.7,71.26,84,19,2.3,few clouds
143,Fortuna,US,40.5982,-124.1573,63.09,72,90,5.01,overcast clouds
144,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.35,82,84,1.48,broken clouds
145,Pergine Valsugana,IT,46.065,11.238,59.59,83,90,2.3,fog
146,Saint-Philippe,RE,-21.3585,55.7679,71.15,79,50,12.35,scattered clouds
147,Gat,IL,31.61,34.7642,70.81,85,0,1.77,clear sky
148,Chokurdakh,RU,70.6333,147.9167,19.08,86,26,8.68,scattered clouds
149,College,US,64.8569,-147.8028,39.15,68,75,6.91,broken clouds
150,San Jose,US,37.3394,-121.895,80.74,41,20,9.22,haze
151,Hermanus,ZA,-34.4187,19.2345,55.9,89,99,10.49,light rain
152,Kasamwa,TZ,-2.85,32.4333,68.83,65,94,3.42,overcast clouds
153,Kavieng,PG,-2.5744,150.7967,82.62,79,89,15.43,light rain
154,Anloga,GH,5.7947,0.8973,79.02,85,100,10.51,light rain
155,Rocha,UY,-34.4833,-54.3333,58.19,96,99,5.79,overcast clouds
156,Bluff,NZ,-46.6,168.3333,53.8,78,43,23.78,scattered clouds
157,Boa Vista,BR,2.8197,-60.6733,84.18,65,20,3.44,light rain
158,Carnarvon,AU,-24.8667,113.6333,77.07,69,75,16.11,light rain
159,Alugan,PH,12.2188,125.4808,84.7,72,98,6.49,light rain
160,Alofi,NU,-19.0595,-169.9187,80.49,69,75,12.66,broken clouds
161,Concepcion Tutuapa,GT,15.2833,-91.7833,61.29,94,68,2.73,broken clouds
162,Kiruna,SE,67.8557,20.2251,40.12,87,90,11.5,overcast clouds
163,Prince Rupert,CA,54.3161,-130.3201,51.49,90,90,8.05,light rain
164,Longyearbyen,SJ,78.2186,15.6401,31.84,86,40,9.22,scattered clouds
165,Nantucket,US,41.2835,-70.0995,58.96,75,29,11.52,scattered clouds
166,Katangli,RU,51.7102,143.2326,56.64,48,1,16.15,clear sky
167,Puerto Suarez,BO,-18.95,-57.8,84.27,40,2,3.56,clear sky
168,Louis Trichardt,ZA,-23.0439,29.9032,59.04,94,98,8.84,overcast clouds
169,Hasaki,JP,35.7333,140.8333,68.4,95,100,37.18,heavy intensity rain
170,Pozo Colorado,PY,-23.4923,-58.7972,93.29,25,100,6.02,overcast clouds
171,Moose Factory,CA,51.2585,-80.6094,46.38,93,40,3.44,scattered clouds
172,San Roque,ES,36.2107,-5.3842,70.63,88,28,14.97,haze
173,Saint Anthony,US,45.0205,-93.218,75.13,78,40,1.99,light rain
174,Jam Sahib,PK,26.2958,68.6292,80.62,70,98,7.49,overcast clouds
175,Hamilton,US,39.1834,-84.5333,67.05,79,1,0.0,clear sky
176,Narasannapeta,IN,18.4167,84.05,82.65,78,13,2.44,few clouds
177,Yar-Sale,RU,66.8333,70.8333,33.37,89,100,19.28,overcast clouds
178,Coquimbo,CL,-29.9533,-71.3436,55.13,82,0,5.75,clear sky
179,Lethem,GY,3.3803,-59.7968,80.19,68,70,8.03,broken clouds
180,Soe,ID,-9.8607,124.284,89.38,28,12,8.43,few clouds
181,Seoul,KR,37.5683,126.9778,75.61,57,0,8.05,clear sky
182,Kropotkin,RU,45.4375,40.5756,44.69,52,7,18.97,clear sky
